,Unnamed: 0,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,sentiment,magnitude
168,168,2013-04-10,Joe Rogan Experience #194 - Jason Silva,3,40002,104,429,19,22.578947368421048,0.16336956521739127,39.415326086956505
169,169,2013-04-10,Joe Rogan Experience #196 - Matt Paxton,4,26422,77,279,9,31.0,0.14878378378378382,47.65391891891893
170,170,2013-04-10,Joe Rogan Experience #197 - Ari Shaffir,2,29952,67,260,17,15.294117647058822,0.0191044776119403,33.239701492537314
171,171,2013-04-10,Joe Rogan Experience #199 - Joey Diaz,2,134558,231,1137,63,18.047619047619047,0.11742358078602624,40.59222707423579
172,172,2013-04-12,Joe Rogan Experience #200 - Duncan Trussell,2,222622,496,1574,107,14.710280373831775,0.11854700854700845,44.261217948717984
173,173,2013-04-11,Joe Rogan Experience #201 - EverLast,4,41788,104,377,24,15.708333333333336,0.1624444444444444,50.35866666666667
174,174,2013-04-11,Joe Rogan Experience #202 - Dom Irrera,2,25996,47,191,20,9.55,0.17068181818181813,35.81749999999999
175,175,2013-04-11,Joe Rogan Experience #203 - Jim Jefferies,2,406716,533,1988,180,11.044444444444444,0.14973737373737356,44.615333333333346
176,176,2013-04-12,Joe Rogan Experience #204 - Amy Schumer,2,103984,156,496,104,4.769230769230768,0.1590849673202615,40.47078431372549
177,177,2013-05-04,Joe Rogan Experience #205  Neal Brennan,2,27933,45,162,24,6.75,0.1248888888888889,41.72933333333333
178,178,2013-05-04,Joe Rogan Experience #206  Eddie Bravo,1,65224,162,558,39,14.307692307692307,0.12110389610389607,38.52590909090908
179,179,2013-05-04,"Joe Rogan Experience #207 - Tom Segura, Christina Pazsitzky",2,78430,122,561,33,17.0,0.13639175257731967,46.43989690721651
180,180,2013-05-04,Joe Rogan Experience #208 - Freeway Rick Ross,0,330756,671,3378,156,21.653846153846153,0.12148820326678765,47.4973139745916
181,181,2013-05-04,Joe Rogan Experience #209 - Eddie Ifft,2,12824,17,100,4,25.0,0.21,51.187058823529405
182,182,2013-05-05,Joe Rogan Experience #211 - Ari Shaffir (Part 1),2,40687,128,312,38,8.210526315789473,0.11663461538461542,44.41365384615384
183,183,2013-05-05,Joe Rogan Experience #211 - Ari Shaffir (Part 2),2,17361,106,156,8,19.5,0.11380952380952382,50.753428571428564
184,184,2013-05-05,Joe Rogan Experience #212 - Bryan Callen,2,49159,41,394,25,15.76,0.15902439024390244,33.66048780487805
185,185,2013-05-05,Joe Rogan Experience #213 - Eddie Bravo,1,90056,234,902,48,18.791666666666668,0.1504608294930876,37.09488479262672
186,186,2013-05-05,Joe Rogan Experience #214 - Duncan Trussell,2,80524,176,686,56,12.25,0.12975757575757582,48.22660606060608
187,187,2013-05-05,Joe Rogan Experience #215 - Andrew Dice Clay,2,108178,213,917,66,13.893939393939394,0.18494949494949506,36.564343434343435
188,188,2013-05-05,Joe Rogan Experience #216 - Chael Sonnen,1,283397,555,1816,130,13.96923076923077,0.13042696629213474,48.51887640449439
189,189,2013-05-05,Joe Rogan Experience #217 - Michael Ruppert,4,48908,165,358,37,9.675675675675675,0.12829931972789113,46.68204081632654
190,190,2013-05-05,Joe Rogan Experience #218 - Dom Irrera,2,11958,13,119,3,39.66666666666666,0.2015384615384615,48.105384615384615
191,191,2013-05-05,Joe Rogan Experience #219 - Joey Diaz,2,171032,222,1503,79,19.025316455696203,0.15764976958525345,40.87953917050692
192,192,2013-05-05,Joe Rogan Experience #220 - Bert Kreischer,2,39295,75,343,23,14.91304347826087,0.16293333333333335,37.66066666666667
193,193,2013-05-05,Joe Rogan Experience #221 - Shane Smith,4,52310,90,412,20,20.6,0.13415584415584414,50.15233766233766
194,194,2013-05-06,"Joe Rogan Experience #222 - Mike Dolce, Joey Diaz",2,76768,168,661,45,14.688888888888883,0.1153125,41.167437500000034
195,195,2013-05-06,Joe Rogan Experience #224 - Brian Redban,2,16468,31,171,4,42.75,0.14806451612903224,26.29967741935484
196,196,2013-05-06,Joe Rogan Experience #226 - John Anthony West,3,68020,276,907,37,24.513513513513512,0.1706938775510205,51.843632653061206
